Date,Open,High,Low,Close,Volume
2024-01-03 05:00:00+00:00,244.98,245.68,236.32,238.45,121082600
2024-01-04 05:00:00+00:00,239.25,242.7,237.73,237.93,102629300
2024-01-05 05:00:00+00:00,236.86,240.12,234.9,237.49,92488900
2024-01-08 05:00:00+00:00,236.14,241.25,235.3,240.45,85166600
2024-01-09 05:00:00+00:00,238.11,238.96,232.04,234.96,96705700
2024-01-10 05:00:00+00:00,235.1,235.5,231.29,233.94,91628500
2024-01-11 05:00:00+00:00,230.57,230.93,225.37,227.22,105873600
2024-01-12 05:00:00+00:00,220.08,225.34,217.15,218.89,123043800
2024-01-16 05:00:00+00:00,215.1,223.49,212.18,219.91,115355000
2024-01-17 05:00:00+00:00,214.86,215.67,212.01,215.55,103164400
2024-01-18 05:00:00+00:00,216.88,217.45,208.74,211.88,108595400
2024-01-19 05:00:00+00:00,209.99,213.19,207.56,212.19,102260300
2024-01-22 05:00:00+00:00,212.26,217.8,206.27,208.8,117952500
2024-01-23 05:00:00+00:00,211.3,215.65,207.75,209.14,106605900
2024-01-24 05:00:00+00:00,211.88,212.73,206.77,207.83,123369900
2024-01-25 05:00:00+00:00,189.7,193.0,180.06,182.63,198076800
2024-01-26 05:00:00+00:00,185.5,186.78,182.1,183.25,107343200
2024-01-29 05:00:00+00:00,185.63,191.48,183.67,190.93,125013100
2024-01-30 05:00:00+00:00,195.33,196.36,190.61,191.59,109982300
2024-01-31 05:00:00+00:00,187.0,193.97,185.85,187.29,103221400
2024-02-01 05:00:00+00:00,188.5,189.88,184.28,188.86,91843300
2024-02-02 05:00:00+00:00,185.04,188.69,182.0,187.91,110612700
2024-02-05 05:00:00+00:00,184.26,184.68,175.01,181.06,134294400
2024-02-06 05:00:00+00:00,177.21,186.49,177.11,185.1,122676000
2024-02-07 05:00:00+00:00,188.18,189.79,182.68,187.58,111535200
2024-02-08 05:00:00+00:00,189.0,191.62,185.58,189.56,83034000
2024-02-09 05:00:00+00:00,190.18,194.12,189.48,193.57,84476300
2024-02-12 05:00:00+00:00,192.11,194.73,187.28,188.13,95498600
2024-02-13 05:00:00+00:00,183.99,187.26,182.11,184.02,86759500
2024-02-14 05:00:00+00:00,185.3,188.89,183.35,188.71,81203000
2024-02-15 05:00:00+00:00,189.16,200.88,188.86,200.45,120831800
2024-02-16 05:00:00+00:00,202.06,203.17,197.4,199.95,111346700
2024-02-20 05:00:00+00:00,196.13,198.6,189.13,193.76,104545800
2024-02-21 05:00:00+00:00,193.36,199.44,191.95,194.77,103500300
2024-02-22 05:00:00+00:00,194.0,198.32,191.36,197.41,92739500
2024-02-23 05:00:00+00:00,195.31,197.57,191.5,191.97,78841900
2024-02-26 05:00:00+00:00,192.29,201.78,192.0,199.4,111747100
2024-02-27 05:00:00+00:00,204.04,205.6,198.26,199.73,108645400
2024-02-28 05:00:00+00:00,200.42,205.3,198.44,202.04,99806200
2024-02-29 05:00:00+00:00,204.18,205.28,198.45,201.88,85907000
2024-03-01 05:00:00+00:00,200.52,204.52,198.5,202.64,82243100
2024-03-04 05:00:00+00:00,198.73,199.75,186.72,188.14,134334900
2024-03-05 05:00:00+00:00,183.05,184.59,177.57,180.74,119660800
2024-03-06 05:00:00+00:00,179.99,181.58,173.7,176.54,107920900
2024-03-07 05:00:00+00:00,174.35,180.04,173.7,178.65,102129000
2024-03-08 05:00:00+00:00,181.5,182.73,174.7,175.34,85544600
2024-03-11 04:00:00+00:00,175.45,182.87,174.8,177.77,85391500
2024-03-12 04:00:00+00:00,177.77,179.43,172.41,177.54,87391700
2024-03-13 04:00:00+00:00,173.05,176.05,169.15,169.48,106524500
2024-03-14 04:00:00+00:00,167.77,171.17,160.51,162.5,126325700
2024-03-15 04:00:00+00:00,163.16,165.18,160.76,163.57,97146800
2024-03-18 04:00:00+00:00,170.02,174.72,165.9,173.8,108214400
2024-03-19 04:00:00+00:00,172.36,172.82,167.42,171.32,77271400
2024-03-20 04:00:00+00:00,173.0,176.25,170.82,175.66,83846700
2024-03-21 04:00:00+00:00,176.39,178.18,171.8,172.82,73178000
2024-03-22 04:00:00+00:00,166.69,171.2,166.3,170.83,75580600
2024-03-25 04:00:00+00:00,168.76,175.24,168.73,172.63,74228600
2024-03-26 04:00:00+00:00,178.58,184.25,177.38,177.67,113186200
2024-03-27 04:00:00+00:00,181.41,181.91,176.0,179.83,81804000
2024-03-28 04:00:00+00:00,177.45,179.57,175.3,175.79,77654800
2024-04-01 04:00:00+00:00,176.17,176.75,170.21,175.22,81562100
2024-04-02 04:00:00+00:00,164.75,167.69,163.43,166.63,116650600
2024-04-03 04:00:00+00:00,164.02,168.82,163.28,168.38,82950100
2024-04-04 04:00:00+00:00,170.07,177.19,168.01,171.11,123162000
2024-04-05 04:00:00+00:00,169.08,170.86,160.51,164.9,143157600
2024-04-08 04:00:00+00:00,169.34,174.5,167.79,172.98,104423300
2024-04-09 04:00:00+00:00,172.91,179.22,171.92,176.88,102951700
2024-04-10 04:00:00+00:00,173.04,174.93,170.01,171.76,84532400
2024-04-11 04:00:00+00:00,172.55,175.88,168.51,174.6,94516000
2024-04-12 04:00:00+00:00,172.34,173.81,170.36,171.05,64722700
2024-04-15 04:00:00+00:00,170.24,170.69,161.38,161.48,100245300
2024-04-16 04:00:00+00:00,156.74,158.19,153.75,157.11,97000000
2024-04-17 04:00:00+00:00,157.64,158.33,153.78,155.45,82439700
2024-04-18 04:00:00+00:00,151.25,152.2,148.7,149.93,96098800
2024-04-19 04:00:00+00:00,148.97,150.94,146.22,147.05,87074500
2024-04-22 04:00:00+00:00,140.56,144.44,138.8,142.05,107097600
2024-04-23 04:00:00+00:00,143.33,147.26,141.11,144.68,124545100
2024-04-24 04:00:00+00:00,162.84,167.97,157.51,162.13,181178000
2024-04-25 04:00:00+00:00,158.96,170.88,158.36,170.18,126427500
2024-04-26 04:00:00+00:00,168.85,172.12,166.37,168.29,109815700
2024-04-29 04:00:00+00:00,188.42,198.87,184.54,194.05,243869700
2024-04-30 04:00:00+00:00,186.98,190.95,182.84,183.28,127031800
2024-05-01 04:00:00+00:00,182.0,185.86,179.01,179.99,92829700
2024-05-02 04:00:00+00:00,182.86,184.6,176.02,180.01,89148000
2024-05-03 04:00:00+00:00,182.1,184.78,178.42,181.19,75491500
2024-05-06 04:00:00+00:00,183.8,187.56,182.2,184.76,84390300
2024-05-07 04:00:00+00:00,182.4,183.26,177.4,177.81,75045900
2024-05-08 04:00:00+00:00,171.59,176.06,170.15,174.72,79969500
2024-05-09 04:00:00+00:00,175.01,175.62,171.37,171.97,65950300
2024-05-10 04:00:00+00:00,173.05,173.06,167.75,168.47,72627200
2024-05-13 04:00:00+00:00,170.0,175.4,169.0,171.89,67018900
2024-05-14 04:00:00+00:00,174.5,179.49,174.07,177.55,86407400
2024-05-15 04:00:00+00:00,179.9,180.0,173.11,173.99,79663000
2024-05-16 04:00:00+00:00,174.1,175.79,171.43,174.84,59812200
2024-05-17 04:00:00+00:00,173.55,179.63,172.75,177.46,77445800
2024-05-20 04:00:00+00:00,177.56,177.75,173.52,174.95,61727400
2024-05-21 04:00:00+00:00,175.51,186.88,174.71,186.6,115266500
2024-05-22 04:00:00+00:00,182.85,183.8,178.12,180.11,88313500
2024-05-23 04:00:00+00:00,181.8,181.9,173.26,173.74,71975500
2024-05-24 04:00:00+00:00,174.84,180.08,173.73,179.24,65584500
2024-05-28 04:00:00+00:00,176.4,178.25,173.16,176.75,59736600
2024-05-29 04:00:00+00:00,174.19,178.15,173.93,176.19,54782600
2024-05-30 04:00:00+00:00,178.58,182.67,175.38,178.79,77618400
2024-05-31 04:00:00+00:00,178.5,180.32,173.82,178.08,67314600
2024-06-03 04:00:00+00:00,178.13,182.64,174.49,176.29,68568900
2024-06-04 04:00:00+00:00,174.78,177.76,174.0,174.77,60056300
2024-06-05 04:00:00+00:00,175.35,176.15,172.13,175.0,57953800
2024-06-06 04:00:00+00:00,174.6,179.73,172.73,177.94,69887000
2024-06-07 04:00:00+00:00,176.13,179.35,175.58,177.48,56244900
2024-06-10 04:00:00+00:00,176.06,178.57,173.17,173.79,50774600
2024-06-11 04:00:00+00:00,173.92,174.75,167.41,170.66,64761900
2024-06-12 04:00:00+00:00,171.12,180.55,169.8,177.29,90389400
2024-06-13 04:00:00+00:00,188.39,191.08,181.23,182.47,118984100
2024-06-14 04:00:00+00:00,185.8,186.0,176.92,178.01,82038200
2024-06-17 04:00:00+00:00,177.92,188.81,177.0,187.44,109786100
2024-06-18 04:00:00+00:00,186.56,187.2,182.37,184.86,68982300
2024-06-20 04:00:00+00:00,184.68,185.21,179.66,181.57,55893100
2024-06-21 04:00:00+00:00,182.3,183.95,180.69,183.01,61937300
2024-06-24 04:00:00+00:00,184.97,188.8,182.55,182.58,61992100
2024-06-25 04:00:00+00:00,184.4,187.97,182.01,187.35,62905700
2024-06-26 04:00:00+00:00,186.54,197.76,186.36,196.37,95737100
2024-06-27 04:00:00+00:00,195.17,198.72,194.05,197.42,72746500
2024-06-28 04:00:00+00:00,199.55,203.2,195.26,197.88,95438100
2024-07-01 04:00:00+00:00,201.02,213.23,200.85,209.86,135691400
2024-07-02 04:00:00+00:00,218.89,231.3,218.06,231.26,205047900
2024-07-03 04:00:00+00:00,234.56,248.35,234.25,246.39,166561500
2024-07-05 04:00:00+00:00,249.81,252.37,242.46,251.52,154501200
2024-07-08 04:00:00+00:00,247.71,259.44,244.57,252.94,157219600
2024-07-09 04:00:00+00:00,251.0,265.61,250.3,262.33,160210900
2024-07-10 04:00:00+00:00,262.8,267.59,257.86,263.26,128519400
2024-07-11 04:00:00+00:00,263.3,271.0,239.65,241.03,221707300
2024-07-12 04:00:00+00:00,235.8,251.84,233.09,248.23,155955800
2024-07-15 04:00:00+00:00,255.97,265.6,251.73,252.64,146912900
2024-07-16 04:00:00+00:00,255.31,258.62,245.8,256.56,126332500
2024-07-17 04:00:00+00:00,252.73,258.47,246.18,248.5,115584800
2024-07-18 04:00:00+00:00,251.09,257.14,247.2,249.23,110869000
2024-07-19 04:00:00+00:00,247.79,249.44,236.83,239.2,87403900
2024-07-22 04:00:00+00:00,244.21,253.21,243.75,251.51,101225400
2024-07-23 04:00:00+00:00,253.6,255.76,245.63,246.38,111928200
2024-07-24 04:00:00+00:00,225.42,225.99,214.71,215.99,167942900
2024-07-25 04:00:00+00:00,216.8,226.0,216.23,220.25,100636500
2024-07-26 04:00:00+00:00,221.19,222.28,215.33,219.8,94604100
2024-07-29 04:00:00+00:00,224.9,234.27,224.7,232.1,129201800
2024-07-30 04:00:00+00:00,232.25,232.41,220.0,222.62,100560300
2024-07-31 04:00:00+00:00,227.9,234.68,226.79,232.07,67497000
2024-08-01 04:00:00+00:00,227.69,231.87,214.33,216.86,83861900
2024-08-02 04:00:00+00:00,214.88,216.13,205.78,207.67,82880100
2024-08-05 04:00:00+00:00,185.22,203.88,182.0,198.88,100308800
2024-08-06 04:00:00+00:00,200.75,202.9,192.67,200.64,73783900
2024-08-07 04:00:00+00:00,200.77,203.49,191.48,191.76,71159800
2024-08-08 04:00:00+00:00,195.7,200.7,192.04,198.84,65033900
2024-08-09 04:00:00+00:00,197.05,200.88,195.11,200.0,58648300
2024-08-12 04:00:00+00:00,199.02,199.26,194.67,197.49,64044900
2024-08-13 04:00:00+00:00,198.47,208.49,197.06,207.83,76247400
2024-08-14 04:00:00+00:00,207.39,208.44,198.75,201.38,70250000
2024-08-15 04:00:00+00:00,205.02,215.88,204.82,214.14,89848500
2024-08-16 04:00:00+00:00,211.15,219.8,210.8,216.12,88765100
2024-08-19 04:00:00+00:00,217.07,222.98,214.09,222.72,76435200
2024-08-20 04:00:00+00:00,224.88,228.22,219.56,221.1,74001200
2024-08-21 04:00:00+00:00,222.67,224.66,218.86,223.27,70146000
2024-08-22 04:00:00+00:00,223.82,224.8,210.32,210.66,79514500
2024-08-23 04:00:00+00:00,214.46,221.48,214.21,220.32,81525200
2024-08-26 04:00:00+00:00,218.75,219.09,211.01,213.21,59301200
2024-08-27 04:00:00+00:00,213.25,215.66,206.94,209.21,62821400
2024-08-28 04:00:00+00:00,209.72,211.84,202.59,205.75,64116400
2024-08-29 04:00:00+00:00,209.8,214.89,205.97,206.28,62308800
2024-08-30 04:00:00+00:00,208.63,214.57,207.03,214.11,63370600
2024-09-03 04:00:00+00:00,215.26,219.9,209.64,210.6,76714200
2024-09-04 04:00:00+00:00,210.59,222.22,210.57,219.41,80651800
2024-09-05 04:00:00+00:00,223.49,235.0,222.25,230.17,119355000
2024-09-06 04:00:00+00:00,232.6,233.6,210.51,210.73,112177000
2024-09-09 04:00:00+00:00,216.2,219.87,213.67,216.27,67443500
2024-09-10 04:00:00+00:00,220.07,226.4,218.64,226.17,78891100
2024-09-11 04:00:00+00:00,224.55,228.47,216.8,228.13,83548600
2024-09-12 04:00:00+00:00,224.66,231.45,223.83,229.81,71894900
2024-09-13 04:00:00+00:00,228.0,232.67,226.32,230.29,59515100
2024-09-16 04:00:00+00:00,229.3,229.96,223.53,226.78,54323000
2024-09-17 04:00:00+00:00,229.45,234.57,226.55,227.87,66761600
2024-09-18 04:00:00+00:00,230.09,235.68,226.88,227.2,78010200
2024-09-19 04:00:00+00:00,234.0,244.24,232.13,243.92,102694600
2024-09-20 04:00:00+00:00,241.52,243.99,235.92,238.25,99879100
2024-09-23 04:00:00+00:00,242.61,250.0,241.92,250.0,86927200
2024-09-24 04:00:00+00:00,254.08,257.19,249.05,254.27,88491000
2024-09-25 04:00:00+00:00,252.54,257.05,252.28,257.02,65034300
2024-09-26 04:00:00+00:00,260.6,261.75,251.53,254.22,67142200
2024-09-27 04:00:00+00:00,257.38,260.7,254.12,260.46,70988100
2024-09-30 04:00:00+00:00,259.04,264.86,255.77,261.63,80705700
2024-10-01 04:00:00+00:00,262.67,263.98,248.53,258.02,87397600
2024-10-02 04:00:00+00:00,247.55,251.16,241.5,249.02,93983900
2024-10-03 04:00:00+00:00,244.48,249.79,237.81,240.66,80729200
2024-10-04 04:00:00+00:00,246.69,250.96,244.58,250.08,86573200
2024-10-07 04:00:00+00:00,249.0,249.83,240.7,240.83,68113300
2024-10-08 04:00:00+00:00,243.56,246.21,240.56,244.5,56303200
2024-10-09 04:00:00+00:00,243.82,247.43,239.51,241.05,66289500
2024-10-10 04:00:00+00:00,241.81,242.79,232.34,238.77,83087100
2024-10-11 04:00:00+00:00,220.13,223.34,214.38,217.8,142628900
2024-10-14 04:00:00+00:00,220.13,221.91,213.74,219.16,86291900
2024-10-15 04:00:00+00:00,220.01,224.26,217.12,219.57,62988800
2024-10-16 04:00:00+00:00,221.4,222.82,218.93,221.33,49632800
2024-10-17 04:00:00+00:00,221.59,222.08,217.9,220.89,50791800
2024-10-18 04:00:00+00:00,220.71,222.28,219.23,220.7,49611900
2024-10-21 04:00:00+00:00,218.9,220.48,215.73,218.85,47329000
2024-10-22 04:00:00+00:00,217.31,218.22,215.26,217.97,43268700
2024-10-23 04:00:00+00:00,217.13,218.72,212.11,213.65,80938900
2024-10-24 04:00:00+00:00,244.68,262.12,242.65,260.48,204491900
2024-10-25 04:00:00+00:00,256.01,269.49,255.32,269.19,161611900
2024-10-28 04:00:00+00:00,270.0,273.54,262.24,262.51,107653600
2024-10-29 04:00:00+00:00,264.51,264.98,255.51,259.52,80521800
2024-10-30 04:00:00+00:00,258.04,263.35,255.82,257.55,53993600
2024-10-31 04:00:00+00:00,257.99,259.75,249.25,249.85,66575300
2024-11-01 04:00:00+00:00,252.04,254.0,246.63,248.98,57544800
2024-11-04 05:00:00+00:00,244.56,248.9,238.88,242.84,68802400
2024-11-05 05:00:00+00:00,247.34,255.28,246.21,251.44,69282500
2024-11-06 05:00:00+00:00,284.67,289.59,275.62,288.53,165228700
2024-11-07 05:00:00+00:00,288.89,299.75,285.52,296.91,117309200
2024-11-08 05:00:00+00:00,299.14,328.71,297.66,321.22,204782800
2024-11-11 05:00:00+00:00,346.3,358.64,336.0,350.0,210521600
2024-11-12 05:00:00+00:00,342.74,345.84,323.31,328.49,155726000
2024-11-13 05:00:00+00:00,335.85,344.6,322.5,330.24,125405600
2024-11-14 05:00:00+00:00,327.69,329.98,310.37,311.18,120726100
2024-11-15 05:00:00+00:00,310.57,324.68,309.22,320.72,114440300
2024-11-18 05:00:00+00:00,340.73,348.55,330.01,338.74,126085600
2024-11-19 05:00:00+00:00,335.76,347.38,332.75,346.0,88852500
2024-11-20 05:00:00+00:00,345.0,346.6,334.3,342.03,66340700
2024-11-21 05:00:00+00:00,343.81,347.99,335.28,339.64,58011700
2024-11-22 05:00:00+00:00,341.09,361.53,337.7,352.56,89140700
2024-11-25 05:00:00+00:00,360.14,361.93,338.2,338.59,95890900
2024-11-26 05:00:00+00:00,341.0,346.96,335.66,338.23,62295900
2024-11-27 05:00:00+00:00,341.8,342.55,326.59,332.89,57896400
2024-11-29 05:00:00+00:00,336.08,345.45,334.65,345.16,37167600
2024-12-02 05:00:00+00:00,352.38,360.0,351.15,357.09,77986500
2024-12-03 05:00:00+00:00,351.8,355.69,348.2,351.42,58267200
2024-12-04 05:00:00+00:00,353.0,358.1,348.6,357.93,50810900
2024-12-05 05:00:00+00:00,359.87,375.43,359.5,369.49,81403600
2024-12-06 05:00:00+00:00,377.42,389.49,370.8,389.22,81455800
2024-12-09 05:00:00+00:00,397.61,404.8,378.01,389.79,96359200
2024-12-10 05:00:00+00:00,392.68,409.73,390.85,400.99,97563600
2024-12-11 05:00:00+00:00,409.7,424.88,402.38,424.77,104287600
2024-12-12 05:00:00+00:00,424.84,429.3,415.0,418.1,87752200
2024-12-13 05:00:00+00:00,420.0,436.3,415.71,436.23,89000200
2024-12-16 05:00:00+00:00,441.09,463.19,436.15,463.02,114083800
2024-12-17 05:00:00+00:00,475.9,483.99,457.51,479.86,131223000
2024-12-18 05:00:00+00:00,466.5,488.54,427.01,440.13,149340800
2024-12-19 05:00:00+00:00,451.88,456.36,420.02,436.17,118566100
2024-12-20 05:00:00+00:00,425.51,447.08,417.64,421.06,132216200
2024-12-23 05:00:00+00:00,431.0,434.51,415.41,430.6,72698100
2024-12-24 05:00:00+00:00,435.9,462.78,435.14,462.28,59551800
2024-12-26 05:00:00+00:00,465.16,465.33,451.02,454.13,76366400
2024-12-27 05:00:00+00:00,449.52,450.0,426.5,431.66,82666800
2024-12-30 05:00:00+00:00,419.4,427.0,415.75,417.41,64941000
2024-12-31 05:00:00+00:00,423.79,427.93,402.54,403.84,76825100
2025-01-02 05:00:00+00:00,390.1,392.73,373.04,379.28,109710700
2025-01-03 05:00:00+00:00,381.48,411.88,379.45,410.44,95423300
2025-01-06 05:00:00+00:00,423.2,426.43,401.7,411.05,85516500
2025-01-07 05:00:00+00:00,405.83,414.33,390.0,394.36,75699500
2025-01-08 05:00:00+00:00,392.95,402.5,387.4,394.94,73038800
2025-01-10 05:00:00+00:00,391.4,399.28,377.29,394.74,62287300
2025-01-13 05:00:00+00:00,383.21,403.79,380.07,403.31,67580500
2025-01-14 05:00:00+00:00,414.34,422.64,394.54,396.36,84565000
2025-01-15 05:00:00+00:00,409.9,429.8,405.66,428.22,81375500
2025-01-16 05:00:00+00:00,423.49,424.0,409.13,413.82,68335200
2025-01-17 05:00:00+00:00,421.5,439.74,419.75,426.5,94991400
2025-01-21 05:00:00+00:00,432.64,433.2,406.31,424.07,87320900
2025-01-22 05:00:00+00:00,416.81,428.0,414.59,415.11,60963300
2025-01-23 05:00:00+00:00,416.06,420.73,408.95,412.38,50690600
2025-01-24 05:00:00+00:00,414.45,418.88,405.78,406.58,56427100
2025-01-27 05:00:00+00:00,394.8,406.69,389.0,397.15,58125500
2025-01-28 05:00:00+00:00,396.91,400.59,386.5,398.09,48910700
2025-01-29 05:00:00+00:00,395.21,398.59,384.48,389.1,68033600
2025-01-30 05:00:00+00:00,410.78,412.5,384.41,400.28,98092900
2025-01-31 05:00:00+00:00,401.53,419.99,401.34,404.6,83283600
2025-02-03 05:00:00+00:00,386.68,389.17,374.36,383.68,93732100
2025-02-04 05:00:00+00:00,382.63,394.0,381.4,392.21,57072200
2025-02-05 05:00:00+00:00,387.51,388.39,375.53,378.17,57223300
2025-02-06 05:00:00+00:00,373.03,375.4,363.18,374.32,77918200
2025-02-07 05:00:00+00:00,370.19,380.55,360.34,361.62,70298300
2025-02-10 05:00:00+00:00,356.21,362.7,350.51,350.73,77514900
2025-02-11 05:00:00+00:00,345.8,349.37,325.1,328.5,118543400
2025-02-12 05:00:00+00:00,329.94,346.4,329.12,336.51,105382700
2025-02-13 05:00:00+00:00,345.0,358.69,342.85,355.94,89441500
2025-02-14 05:00:00+00:00,360.62,362.0,347.5,355.84,68277300
2025-02-18 05:00:00+00:00,355.01,359.1,350.02,354.11,51631700
2025-02-19 05:00:00+00:00,354.0,367.34,353.67,360.56,67094400
2025-02-20 05:00:00+00:00,361.51,362.3,348.0,354.4,45965400
2025-02-21 05:00:00+00:00,353.44,354.98,334.42,337.8,74058600
2025-02-24 05:00:00+00:00,338.14,342.4,324.7,330.53,76052300
2025-02-25 05:00:00+00:00,327.02,328.89,297.25,302.8,134228800
2025-02-26 05:00:00+00:00,303.71,309.0,288.04,290.8,100118300
2025-02-27 05:00:00+00:00,291.16,297.23,280.88,281.95,101748200
2025-02-28 05:00:00+00:00,279.5,293.88,273.6,292.98,115697000
2025-03-03 05:00:00+00:00,300.34,303.94,277.3,284.65,115551400
2025-03-04 05:00:00+00:00,270.93,284.35,261.84,272.04,126706600
2025-03-05 05:00:00+00:00,272.92,279.55,267.71,279.1,94042900
2025-03-06 05:00:00+00:00,272.06,272.65,260.02,263.45,98451600
2025-03-07 05:00:00+00:00,259.32,266.25,250.73,262.67,102369600
2025-03-10 04:00:00+00:00,252.54,253.37,220.0,222.15,189076900
2025-03-11 04:00:00+00:00,225.31,237.06,217.02,230.58,174896400
2025-03-12 04:00:00+00:00,247.22,251.84,241.1,248.09,142215700
2025-03-13 04:00:00+00:00,248.13,248.29,232.6,240.68,114813500
2025-03-14 04:00:00+00:00,247.31,251.58,240.73,249.98,100242300
2025-03-17 04:00:00+00:00,245.06,245.4,232.8,238.01,111900600
2025-03-18 04:00:00+00:00,228.16,230.1,222.28,225.31,111477600
2025-03-19 04:00:00+00:00,231.61,241.41,229.2,235.86,111993800
2025-03-20 04:00:00+00:00,233.35,238.0,230.05,236.26,99028300
2025-03-21 04:00:00+00:00,234.99,249.52,234.55,248.71,132728700
2025-03-24 04:00:00+00:00,258.08,278.64,256.33,278.39,169079900
2025-03-25 04:00:00+00:00,283.6,288.2,271.28,288.14,150361500
2025-03-26 04:00:00+00:00,282.66,284.9,266.51,272.06,153629800
2025-03-27 04:00:00+00:00,272.48,291.85,271.82,273.13,162572100
2025-03-28 04:00:00+00:00,275.58,276.1,260.57,263.55,123809400
2025-03-31 04:00:00+00:00,249.31,260.56,243.36,259.16,134008900
2025-04-01 04:00:00+00:00,263.8,277.45,259.25,268.46,146486900
2025-04-02 04:00:00+00:00,254.6,284.99,251.27,282.76,212787800
2025-04-03 04:00:00+00:00,265.29,276.3,261.51,267.28,136174300
2025-04-04 04:00:00+00:00,255.38,261.0,236.0,239.43,181229400
2025-04-07 04:00:00+00:00,223.78,252.0,214.25,233.29,183453800
2025-04-08 04:00:00+00:00,245.0,250.44,217.8,221.86,171603500
2025-04-09 04:00:00+00:00,224.69,274.69,223.88,272.2,219433400
2025-04-10 04:00:00+00:00,260.0,262.49,239.33,252.4,181722600
2025-04-11 04:00:00+00:00,251.84,257.74,241.36,252.31,128948100
2025-04-14 04:00:00+00:00,258.36,261.8,245.93,252.35,100135200
2025-04-15 04:00:00+00:00,249.91,258.75,247.54,254.11,79594300
2025-04-16 04:00:00+00:00,247.61,251.97,233.89,241.55,112378700
2025-04-17 04:00:00+00:00,243.47,244.34,237.68,241.37,83404800
2025-04-21 04:00:00+00:00,230.26,232.21,222.79,227.5,97768000
2025-04-22 04:00:00+00:00,230.96,242.79,229.85,237.97,120858500
2025-04-23 04:00:00+00:00,254.86,259.45,244.43,250.74,150381900
2025-04-24 04:00:00+00:00,250.5,259.54,249.2,259.51,94464200
2025-04-25 04:00:00+00:00,261.69,286.85,259.63,284.95,167560700
2025-04-28 04:00:00+00:00,288.98,294.86,272.42,285.88,151731800
2025-04-29 04:00:00+00:00,285.5,293.32,279.47,292.03,108906600
2025-04-30 04:00:00+00:00,279.9,284.45,270.78,282.16,128961100
2025-05-01 04:00:00+00:00,280.01,290.87,279.81,280.52,99659000
2025-05-02 04:00:00+00:00,284.9,294.78,279.81,287.21,114454700
2025-05-05 04:00:00+00:00,284.57,284.85,274.4,280.26,94618900
2025-05-06 04:00:00+00:00,273.11,277.73,271.35,275.35,76715800
2025-05-07 04:00:00+00:00,276.88,277.92,271.0,276.22,71592600
2025-05-08 04:00:00+00:00,279.63,289.8,279.41,284.82,97539400
2025-05-09 04:00:00+00:00,290.21,307.04,290.0,298.26,132387800
2025-05-12 04:00:00+00:00,321.99,322.21,311.5,318.38,112826700
2025-05-13 04:00:00+00:00,320.0,337.59,316.8,334.07,136992600
2025-05-14 04:00:00+00:00,342.5,350.0,337.0,347.68,136997300
2025-05-15 04:00:00+00:00,340.34,346.14,334.72,342.82,97882600
2025-05-16 04:00:00+00:00,346.24,351.62,342.33,349.98,95895700
2025-05-19 04:00:00+00:00,336.3,343.0,333.37,342.09,88869900
2025-05-20 04:00:00+00:00,347.87,354.99,341.63,343.82,131715500
2025-05-21 04:00:00+00:00,344.43,347.35,332.2,334.62,102354800
2025-05-22 04:00:00+00:00,331.9,347.27,331.39,341.04,97113400
2025-05-23 04:00:00+00:00,337.92,343.18,333.21,339.34,84654800
2025-05-27 04:00:00+00:00,347.35,363.79,347.32,362.89,120146400
2025-05-28 04:00:00+00:00,364.84,365.0,355.91,356.9,91404300
2025-05-29 04:00:00+00:00,365.29,367.71,356.0,358.43,88087800
2025-05-30 04:00:00+00:00,355.52,363.68,345.29,346.46,123474900
2025-06-02 04:00:00+00:00,343.5,348.02,333.33,342.69,81873800
2025-06-03 04:00:00+00:00,346.6,355.4,343.04,344.27,99324500
2025-06-04 04:00:00+00:00,345.1,345.6,327.33,332.05,98912100
2025-06-05 04:00:00+00:00,322.49,324.55,273.21,284.7,287499800
2025-06-06 04:00:00+00:00,298.83,305.5,291.14,295.14,164747700
2025-06-09 04:00:00+00:00,285.96,309.83,281.85,308.58,140908900
2025-06-10 04:00:00+00:00,314.94,327.83,310.67,326.09,151256500
2025-06-11 04:00:00+00:00,334.4,335.5,322.5,326.43,122611400
2025-06-12 04:00:00+00:00,323.08,332.56,316.86,319.11,105127500
2025-06-13 04:00:00+00:00,313.97,332.99,313.3,325.31,128964300
2025-06-16 04:00:00+00:00,331.29,332.05,326.41,329.13,83925900
2025-06-17 04:00:00+00:00,326.09,327.26,314.74,316.35,88282700
2025-06-18 04:00:00+00:00,317.31,329.32,315.45,322.05,95137700
2025-06-20 04:00:00+00:00,327.95,332.36,317.78,322.16,108688000
2025-06-23 04:00:00+00:00,327.54,357.54,327.48,348.68,190716800
2025-06-24 04:00:00+00:00,356.17,356.26,340.44,340.47,114736200
2025-06-25 04:00:00+00:00,342.7,343.0,320.4,327.55,119845100
2025-06-26 04:00:00+00:00,324.61,331.05,323.61,325.78,80440900
2025-06-27 04:00:00+00:00,324.51,329.34,317.5,323.63,89067000
2025-06-30 04:00:00+00:00,319.9,325.58,316.6,317.66,76695100
2025-07-01 04:00:00+00:00,298.46,305.89,293.21,300.71,145085700
2025-07-02 04:00:00+00:00,312.63,316.83,303.82,315.65,119483700
2025-07-03 04:00:00+00:00,317.99,318.45,312.76,315.35,58042300
2025-07-07 04:00:00+00:00,291.37,296.15,288.77,293.94,131177900
